curso_id,nombre_curso,descripcion,fecha_inicio,fecha_fin
"1,generate sticky paradigms,"Everybody anything other vote chance policy finally science. Business ok race behavior listen third view.",2025-04-01,2025-03-08"
"2,drive robust methodologies,"Himself executive leave card she heart message. Member front young. Let success player green than beautiful water.",2025-01-28,2025-04-12"
"3,benchmark dot-com paradigms,"Apply church couple.Sense level nature back today final. Including go night strong direction news radio.Art doctor myself leader window. Begin environment weight six himself.",2025-02-15,2025-04-17"
"4,deliver proactive deliverables,"Republican indicate list cold environmental. Kid PM rest maybe.Glass big factor along article third green. Too view increase member turn far.Which there what always. Research whom law player about.",2025-03-30,2025-03-29"
"5,facilitate innovative content,"Manage voice medical argue. Teach several better practice answer.Also office big out. Reduce investment federal magazine college. Suddenly here either southern.",2025-02-09,2025-01-28"
"6,matrix wireless networks,"Experience price major. Phone rock share keep firm under its. You design medical simply unit draw. Meeting appear financial model provide ever.",2025-03-21,2025-01-06"
"7,brand cross-platform web services,"Science deal control style human test her. Whatever admit trip science party realize reduce.",2025-02-23,2025-01-20"
"8,productize 24/365 communities,"Order a part science. Employee today never country land within. Real campaign recently executive beat whatever.Single share present commercial build card up sort. Bag lot look agency.",2025-01-19,2025-02-07"
"9,benchmark real-time info-mediaries,"Either financial thousand report just. Everyone condition you create figure same."Agreement scientist success and war rest.Ok author resource traditional.",2025-02-16,2025-04-17"
"10,seize e-business web-readiness,"Modern computer wind way field. Stock majority Mrs official short and girl. For audience use rather fire compare.",2025-03-04,2025-04-22"
